,Open,Close,difference_open_close,positive_negative,sentiment_1,sentiment_2,sentiment_1_no_0,sentiment_2_no_0
2020-12-14,41.619998931884766,39.209999084472656,2.4099998474121094,1.0,0.1671582089552238,0.1214778380823156,0.3861931034482758,0.2466368227731864
2020-12-15,39.060001373291016,38.709999084472656,0.3500022888183594,1.0,0.176775,0.1084302849927849,0.3413586206896551,0.2428838383838383
2020-12-16,38.18000030517578,37.84000015258789,0.3400001525878906,1.0,0.0416581395348837,0.0805937279774489,0.089565,0.1925294612794613
2020-12-17,37.83000183105469,38.02999877929688,-0.1999969482421946,-1.0,0.047,0.0389770958888606,0.09588,0.0864274734926908
2020-12-18,37.9900016784668,37.68000030517578,0.3100013732910156,1.0,0.11293225966562166,0.0918767416948255,0.2104573586744639,0.2104573586744639
2020-12-21,37.27999877929688,37.380001068115234,-0.10000228881835227,-1.0,0.1610407407407407,0.13394126449682,0.2635212121212121,0.2781857031857032
2020-12-22,37.209999084472656,36.7400016784668,0.4699974060058594,1.0,0.1357479452054794,0.0946863448575777,0.300290909090909,0.1818974519632414
2020-12-23,37.0099983215332,37.43999862670898,-0.43000030517577414,-1.0,0.1450193548387097,0.1626443001443001,0.2644470588235294,0.3055741396650487
2020-12-24,37.400001525878906,37.27000045776367,0.13000106811523438,1.0,0.0752830508474576,0.2079609655880842,0.2467611111111111,0.3408249158249158
2020-12-28,37.36000061035156,36.81999969482422,0.5400009155273438,1.0,-0.0030727272727272,0.1065340909090909,-0.0061454545454545,0.2130681818181818
2020-12-29,36.900001525878906,37.04999923706055,-0.14999771118164062,-1.0,0.0889416666666666,0.0568169793169793,0.20011875,0.1704509379509379
2020-12-30,37.02999877929688,36.7400016784668,0.28999710083008523,1.0,0.1045378378378378,0.1468907218907219,0.2148833333333333,0.3396847943722944
2020-12-31,36.65999984741211,36.810001373291016,-0.15000152587890625,-1.0,0.1826038461538461,0.1313884032634032,0.3165133333333333,0.2440070346320346
2021-01-04,36.869998931884766,36.810001373291016,0.05999755859375,1.0,0.0937529411764705,0.0653536414565826,0.1677684210526315,0.2222023809523809
2021-01-05,36.720001220703125,37.18999862670898,-0.46999740600585227,-1.0,0.173202,0.1094556277056277,0.3608375,0.2487627902400629
2021-01-06,36.83000183105469,36.869998931884766,-0.039997100830078125,-1.0,0.1291423076923077,0.0832035152347652,0.2034969696969697,0.1442194264069264
2021-01-07,37.040000915527344,37.060001373291016,-0.020000457763671875,-1.0,0.1283783783783783,0.0970157657657657,0.2375,0.1889254385964912
2021-01-08,37.15999984741211,37.130001068115234,0.029998779296875,1.0,0.1614692632850241,0.1173738274821114,0.24492558564814812,0.24492558564814812
2021-01-11,37.220001220703125,37.77000045776367,-0.5499992370605469,-1.0,0.1127684210526315,0.1094590643274853,0.1587111111111111,0.2189181286549707
2021-01-12,37.70000076293945,37.18000030517578,0.5200004577636719,1.0,0.2087790697674418,0.114390919158361,0.3740625,0.2459404761904761
2021-01-13,37.0,36.86000061035156,0.1399993896484375,1.0,0.2168239130434782,0.1223746980676328,0.3324633333333333,0.2251694444444444
2021-01-14,36.77999877929688,36.75,0.029998779296882105,1.0,0.1429733333333333,0.1186034952701619,0.3063714285714286,0.313950428656311
2021-01-15,36.68000030517578,36.70000076293945,-0.020000457763671875,-1.0,-0.010521657944480935,0.05397186552390623,-0.009822747911003763,-0.009822747911003763
2021-01-19,36.7599983215332,36.72999954223633,0.029998779296875,1.0,0.1208645833333333,0.0826099537037037,0.2071964285714285,0.1802398989898989
2021-01-20,36.790000915527344,36.5,0.29000091552734375,1.0,0.2060125,0.1261698833573833,0.3169423076923077,0.2293997879225151
2021-01-21,36.38999938964844,36.47999954223633,-0.09000015258789062,-1.0,0.2206970588235294,0.14225848293863,0.3490093023255814,0.2614480226980227
2021-01-22,36.31999969482422,36.54999923706055,-0.22999954223632812,-1.0,0.0927024552696878,0.07516128152800473,0.1599376223776223,0.1599376223776223
2021-01-25,36.54999923706055,37.27999877929688,-0.7299995422363352,-1.0,0.1450178571428571,0.1161255411255411,0.2388529411764706,0.2322510822510822
2021-01-26,37.27000045776367,37.310001373291016,-0.04000091552734375,-1.0,0.1604911764705882,0.1097577667430608,0.30315,0.2870587745587745
2021-01-27,36.9900016784668,36.2400016784668,0.75,1.0,0.1743862068965517,0.1352011494252873,0.3371466666666666,0.3267361111111111
2021-01-28,35.95000076293945,35.86000061035156,0.09000015258789062,1.0,0.2742473684210526,0.1963849016480595,0.4531043478260869,0.287024087024087
